RSPO szkoły,* liczba zdających,* zdawalność (%).1,średni wynik (%)
4117,77.0,100.0,61.44155844155844
3513,51.0,98.0392156862745,52.372549019607845
53597,75.0,100.0,62.22666666666667
6279,149.0,100.0,62.10738255033557
53680,9.0,88.88888888888889,35.666666666666664
109600,9.0,100.0,42.55555555555556
83543,47.0,93.61702127659576,47.63829787234042
85245,16.0,87.5,43.6875
12719,108.0,100.0,63.39814814814815
11640,77.0,100.0,51.20779220779221
11648,75.0,98.66666666666669,50.12
9883,8.0,87.5,49.375
26980,38.0,100.0,65.42105263157895
85576,21.0,100.0,68.95238095238095
18408,26.0,92.3076923076923,49.53846153846154
17491,70.0,100.0,55.79710144927536
12525,129.0,100.0,64.02325581395348
12527,133.0,100.0,64.37878787878788
27051,63.0,100.0,57.90476190476191
12707,179.0,100.0,70.37988826815642
18457,130.0,100.0,66.99230769230769
13768,153.0,100.0,60.36601307189542
12666,118.0,99.15254237288136,60.271186440677965
5503,12.0,91.66666666666666,57.583333333333336
12059,15.0,93.33333333333331,46.53333333333333
4931,41.0,100.0,42.21951219512195
12941,16.0,93.75,55.125
12494,192.0,100.0,67.05729166666667
8874,18.0,88.23529411764706,42.27777777777778
131044,35.0,97.14285714285714,49.51428571428571
266625,26.0,84.61538461538461,46.5
5098,90.0,100.0,54.644444444444446
13511,14.0,100.0,59.5
9962,21.0,100.0,52.0
104506,65.0,100.0,57.4
53555,24.0,83.33333333333334,43.625
24963,137.0,99.27007299270072,66.18248175182482
24965,85.0,97.6470588235294,53.08235294117648
24962,132.0,100.0,60.083333333333336
24964,62.0,95.08196721311477,53.79032258064516
274704,17.0,100.0,52.88235294117647
18731,137.0,100.0,60.75912408759124
21582,160.0,100.0,57.6625
21855,135.0,100.0,62.97037037037037
21854,61.0,100.0,48.90163934426229
9733,24.0,87.5,40.75
113729,12.0,100.0,61.083333333333336
40912,29.0,93.10344827586206,38.310344827586206
18449,99.0,100.0,58.898989898989896
30398,6.0,100.0,43.833333333333336
58372,117.0,96.58119658119658,58.965811965811966
58360,23.0,100.0,62.30434782608695
6788,112.0,99.10714285714286,59.705357142857146
6807,27.0,96.29629629629628,52.77777777777778
110236,41.0,100.0,58.36585365853659
110391,36.0,100.0,50.27777777777778
79751,115.0,99.1304347826087,59.80869565217391
26891,17.0,100.0,52.1764705882353
8422,38.0,100.0,50.94736842105263
56201,11.0,100.0,54.90909090909091
44536,18.0,88.88888888888889,49.833333333333336
56199,108.0,100.0,67.62962962962963
5622,11.0,90.9090909090909,45.90909090909091
44226,49.0,95.91836734693877,58.24489795918368
5447,8.0,100.0,46.125
8796,76.0,100.0,62.67105263157895
8461,170.0,99.41176470588236,56.60588235294118
84682,179.0,100.0,66.77653631284916
77987,14.0,100.0,70.42857142857143
83866,96.0,96.875,48.270833333333336
25220,224.0,99.55357142857144,62.11607142857143
8803,85.0,98.82352941176472,44.34117647058824
8771,128.0,100.0,61.4375
84309,40.0,100.0,67.3
84029,159.0,100.0,65.9496855345912
84173,55.0,90.9090909090909,50.63636363636363
7670,159.0,100.0,68.0754716981132
89690,98.0,100.0,71.44897959183673
113503,24.0,100.0,54.208333333333336
121296,44.0,100.0,56.52272727272727
268702,8.0,87.5,45.625
30976,15.0,100.0,54.2
83884,14.0,85.71428571428571,47.35714285714285
43581,119.0,98.31932773109244,56.52100840336134
62074,56.0,100.0,65.42857142857143
31333,155.0,100.0,65.11612903225806
108745,158.0,96.83544303797468,51.81645569620253
70761,20.0,95.0,56.3
109422,114.0,100.0,69.15789473684211
31317,120.0,100.0,71.84166666666667
9380,141.0,100.0,65.7872340425532
105381,19.0,94.73684210526316,47.8421052631579
106383,21.0,100.0,51.71428571428572
59955,22.0,81.81818181818183,39.27272727272727
90514,14.0,92.85714285714286,54.0
82558,12.0,66.66666666666666,38.833333333333336
89838,34.0,100.0,57.44117647058823
114722,12.0,100.0,47.41666666666666
7299,7.0,100.0,57.142857142857146
6541,96.0,96.875,58.21875
127204,21.0,95.23809523809524,38.42857142857143
23586,140.0,100.0,52.15714285714286
15031,28.0,100.0,61.60714285714285
25709,31.0,100.0,62.41935483870968
7818,12.0,81.81818181818183,40.91666666666666
61502,156.0,100.0,65.83974358974359
25599,158.0,100.0,60.99367088607595
263987,33.0,100.0,62.90909090909091
272798,28.0,82.14285714285714,42.392857142857146
107409,65.0,100.0,61.50769230769231
49344,9.0,100.0,45.22222222222222
50272,81.0,100.0,60.123456790123456
86439,24.0,100.0,57.69565217391305
53333,55.0,98.1818181818182,51.50909090909091
25362,18.0,100.0,45.833333333333336
17730,83.0,95.18072289156626,52.16867469879518
6968,144.0,99.30555555555556,58.54166666666666
18579,125.0,97.6,52.272
11182,128.0,100.0,62.7734375
7983,46.0,95.65217391304348,56.45652173913044
17601,42.0,85.36585365853658,47.24390243902439
15300,81.0,100.0,58.098765432098766
18356,122.0,95.0413223140496,49.278688524590166
86002,64.0,100.0,58.375
6954,169.0,100.0,65.32544378698225
74772,149.0,100.0,69.55704697986577
6934,176.0,100.0,54.67045454545455
7051,124.0,100.0,72.91935483870968
7099,112.0,100.0,67.125
7753,152.0,100.0,74.13815789473684
11181,188.0,100.0,63.78191489361702
81759,15.0,93.33333333333331,50.8
43409,18.0,100.0,49.94444444444444
81755,15.0,93.33333333333331,63.333333333333336
11174,30.0,100.0,63.9
72039,12.0,83.33333333333334,37.083333333333336
7982,200.0,100.0,61.375
57154,13.0,69.23076923076923,32.76923076923077
43407,39.0,97.43589743589745,51.74358974358975
122271,24.0,91.66666666666666,50.958333333333336
125432,56.0,89.28571428571429,46.94642857142857
130828,39.0,89.74358974358975,42.61538461538461
133201,30.0,100.0,47.7
103727,32.0,100.0,68.0625
262211,133.0,100.0,59.70676691729323
265997,11.0,100.0,45.45454545454545
271870,47.0,100.0,57.34782608695652
89762,53.0,100.0,60.735849056603776
83567,77.0,98.7012987012987,65.33766233766234
269487,7.0,100.0,50.42857142857143
25697,102.0,99.01960784313728,48.25490196078432
4045,122.0,100.0,57.33057851239669
3640,160.0,100.0,59.975
29583,162.0,100.0,68.03086419753086
30451,16.0,100.0,50.25
31207,66.0,100.0,57.72307692307693
6128,24.0,100.0,57.083333333333336
18942,187.0,100.0,64.475935828877
21211,70.0,98.57142857142858,47.8
3620,121.0,100.0,65.74380165289256
23199,215.0,100.0,63.82790697674419
3957,201.0,100.0,55.45771144278607
262373,23.0,91.30434782608695,46.26086956521739
196346,79.0,100.0,64.16455696202532
38713,66.0,98.48484848484848,51.93939393939394
34660,198.0,99.4949494949495,65.07575757575758
42757,8.0,100.0,63.625
108996,59.0,98.27586206896552,56.83050847457627
38705,21.0,95.23809523809524,64.47619047619048
271088,22.0,100.0,51.54545454545455
38716,27.0,96.29629629629628,62.333333333333336
82886,57.0,92.98245614035088,55.98245614035088
131149,30.0,70.0,38.23333333333333
59054,146.0,100.0,68.55479452054794
47245,19.0,100.0,69.57894736842105
71878,110.0,99.0909090909091,60.11818181818182
57720,87.0,100.0,62.12643678160919
58113,46.0,89.13043478260869,41.26086956521739
269275,26.0,76.92307692307693,40.69230769230769
272464,14.0,100.0,45.142857142857146
21234,131.0,100.0,60.98473282442748
21556,90.0,97.77777777777776,54.11111111111112
26505,28.0,66.66666666666666,36.392857142857146
133144,17.0,100.0,73.70588235294117
71243,93.0,98.9247311827957,70.15053763440861
71328,139.0,100.0,56.15107913669065
28129,61.0,89.83050847457628,45.60655737704918
118822,8.0,87.5,44.875
83317,22.0,95.45454545454544,64.86363636363636
31861,43.0,100.0,62.30232558139535
111536,19.0,100.0,60.89473684210526
107075,116.0,100.0,69.30172413793103
126766,40.0,100.0,67.95
119399,7.0,100.0,63.71428571428572
126767,24.0,100.0,64.125
7943,105.0,100.0,49.27619047619048
52789,19.0,100.0,63.31578947368421
10331,133.0,99.24812030075188,66.86466165413533
10244,91.0,100.0,67.49450549450549
10330,102.0,100.0,63.21568627450981
58315,21.0,100.0,41.47619047619048
78987,22.0,100.0,42.63636363636363
119235,14.0,100.0,68.92857142857143
131614,25.0,96.0,57.84
88264,13.0,100.0,55.69230769230769
88278,17.0,93.75,47.35294117647059
125817,20.0,85.0,39.25
130408,21.0,95.23809523809524,54.23809523809524
129533,38.0,86.8421052631579,44.026315789473685
263525,18.0,94.44444444444444,59.44444444444444
12126,23.0,100.0,52.130434782608695
5431,112.0,100.0,67.16964285714286
5060,41.0,100.0,63.51219512195122
5519,76.0,100.0,58.88157894736842
12233,85.0,100.0,69.16470588235295
26424,170.0,100.0,69.62721893491124
16568,171.0,100.0,68.7764705882353
86404,15.0,86.66666666666667,40.93333333333333
77993,35.0,100.0,50.48571428571429
43834,23.0,78.26086956521739,35.82608695652174
31842,34.0,70.58823529411765,30.91176470588235
24063,11.0,100.0,80.18181818181819
25092,86.0,98.83720930232558,64.95348837209302
22959,148.0,99.32432432432432,68.08108108108108
24106,90.0,100.0,72.12359550561797
131700,41.0,55.00000000000001,35.36585365853659
30203,49.0,100.0,50.10204081632653
19202,124.0,100.0,52.69918699186992
73138,94.0,85.1063829787234,38.223404255319146
55531,60.0,100.0,53.75
13908,29.0,82.75862068965517,38.13793103448276
23579,190.0,100.0,60.6
17862,164.0,98.78048780487804,61.3719512195122
4148,81.0,97.53086419753086,54.71604938271605
8509,52.0,98.07692307692308,55.78846153846154
8510,8.0,100.0,56.25
93089,20.0,95.0,55.55
5092,24.0,100.0,62.41666666666666
93121,24.0,100.0,45.958333333333336
17834,11.0,100.0,54.27272727272727
13719,90.0,98.88888888888889,57.08888888888889
56982,45.0,97.77777777777776,62.04444444444445
70909,49.0,100.0,61.53061224489796
75681,25.0,100.0,66.56
85164,57.0,100.0,65.05263157894737
84463,24.0,100.0,53.16666666666666
92846,25.0,100.0,60.76
84468,15.0,93.33333333333331,52.93333333333333
74636,99.0,100.0,69.88888888888889
25568,123.0,99.1869918699187,64.4959349593496
34526,204.0,100.0,70.26960784313725
34531,132.0,100.0,64.0909090909091
80864,99.0,100.0,67.24242424242425
89944,47.0,100.0,63.680851063829785
58354,128.0,100.0,67.4921875
84488,28.0,96.29629629629628,49.07142857142857
81294,44.0,100.0,52.81818181818182
120259,12.0,91.66666666666666,60.45454545454545
87613,57.0,100.0,62.77192982456141
123263,7.0,100.0,46.285714285714285
4387,46.0,93.47826086956522,49.32608695652174
271908,14.0,92.85714285714286,44.285714285714285
272838,7.0,100.0,63.142857142857146
74208,115.0,100.0,61.82456140350877
91985,33.0,100.0,66.59375
24732,37.0,86.48648648648648,45.5945945945946
22868,34.0,87.87878787878788,48.8235294117647
23623,127.0,100.0,65.5748031496063
23621,165.0,100.0,66.45454545454545
23622,33.0,93.93939393939394,58.45454545454545
23535,31.0,100.0,58.096774193548384
20989,9.0,50.0,26.11111111111111
29883,46.0,100.0,58.56521739130435
68252,29.0,100.0,71.17241379310344
30458,56.0,100.0,48.69642857142857
30076,172.0,100.0,69.73099415204679
30101,142.0,100.0,70.21126760563381
27498,76.0,100.0,67.61842105263158
30058,39.0,94.73684210526316,47.84615384615385
26284,26.0,100.0,62.26923076923077
9126,47.0,100.0,79.1063829787234
41491,50.0,100.0,56.86
8663,163.0,100.0,66.11656441717791
8664,176.0,100.0,64.16477272727273
44112,16.0,100.0,58.1875
44074,56.0,100.0,62.96428571428572
91988,21.0,100.0,61.285714285714285
52803,58.0,98.27586206896552,46.172413793103445
84260,17.0,100.0,41.47058823529412
58134,175.0,100.0,68.62857142857143
42178,31.0,90.32258064516128,50.29032258064516
42262,179.0,100.0,68.49162011173185
42364,120.0,97.5,59.35
38949,122.0,100.0,78.12295081967213
40944,111.0,100.0,69.49549549549549
49532,117.0,100.0,69.9396551724138
42024,216.0,100.0,72.50462962962963
42095,148.0,100.0,64.51351351351352
58221,23.0,100.0,71.04347826086956
125851,15.0,93.33333333333331,62.5
264219,22.0,100.0,57.95454545454545
264221,46.0,100.0,71.15217391304348
270491,14.0,100.0,68.28571428571429
25062,6.0,100.0,57.16666666666666
81509,20.0,95.0,49.1
53795,47.0,95.74468085106383,53.680851063829785
42015,72.0,90.2777777777778,47.208333333333336
73857,9.0,100.0,61.0
24237,159.0,100.0,61.563291139240505
24218,157.0,100.0,57.70512820512821
24207,161.0,100.0,62.38125
43493,47.0,84.78260869565217,43.869565217391305
11245,79.0,100.0,66.50632911392405
11695,185.0,100.0,64.92972972972973
10381,38.0,100.0,58.13157894736842
8643,14.0,100.0,61.85714285714285
11050,130.0,100.0,67.0
11790,55.0,96.36363636363636,50.27272727272727
11492,62.0,100.0,64.01612903225806
11149,158.0,100.0,60.68987341772152
84328,48.0,100.0,55.583333333333336
119262,13.0,100.0,55.0
49962,14.0,100.0,47.85714285714285
29786,10.0,100.0,59.0
264745,31.0,100.0,59.70967741935484
20220,54.0,98.1132075471698,56.74074074074074
19714,64.0,100.0,57.3015873015873
20543,21.0,100.0,49.47619047619048
80648,162.0,97.53086419753086,60.42592592592592
69810,98.0,95.8762886597938,60.74489795918368
68310,46.0,100.0,55.76086956521739
108718,39.0,100.0,66.53846153846153
269932,11.0,100.0,49.72727272727273
74792,38.0,100.0,61.8421052631579
89347,92.0,100.0,61.5
89261,59.0,100.0,68.89830508474576
12931,6.0,100.0,60.0
30409,24.0,100.0,69.375
12925,23.0,100.0,55.69565217391305
92352,23.0,100.0,66.21739130434783
28520,8.0,100.0,51.875
28724,28.0,100.0,59.10714285714285
3974,60.0,78.33333333333333,41.53333333333333
