RSPO szkoły,* liczba zdających.2,* zdawalność (%).3,średni wynik (%).2
12324,17.0,94.11764705882352,51.411764705882355
4117,91.0,100.0,83.21978021978022
3513,54.0,100.0,86.42592592592592
53597,114.0,99.12280701754386,81.71052631578948
6279,108.0,99.07407407407408,84.21296296296296
53680,9.0,100.0,58.22222222222222
109600,7.0,100.0,71.28571428571429
83543,40.0,90.0,68.475
85245,30.0,96.55172413793103,76.76666666666667
10426,2.0,,
12719,108.0,100.0,88.62037037037037
11640,72.0,100.0,79.77777777777777
11648,58.0,100.0,80.62068965517241
9883,16.0,100.0,76.4375
26980,16.0,100.0,94.0625
85576,16.0,100.0,88.4375
18408,13.0,58.333333333333336,44.69230769230769
17491,66.0,100.0,89.65151515151516
12525,116.0,100.0,92.84482758620689
12527,122.0,100.0,92.95081967213115
27051,40.0,100.0,90.3
13860,1.0,,
12707,180.0,100.0,96.7388888888889
18457,151.0,100.0,94.00662251655629
13768,149.0,99.32885906040269,88.59060402684564
12666,93.0,100.0,87.80645161290323
5503,7.0,100.0,79.42857142857143
12059,22.0,95.45454545454545,71.63636363636364
4931,28.0,100.0,66.89285714285714
12941,25.0,92.0,73.76
12494,182.0,100.0,95.01098901098901
8874,5.0,80.0,76.8
131044,38.0,92.10526315789474,75.47368421052632
266625,28.0,96.29629629629629,70.35714285714286
5098,98.0,100.0,77.18367346938776
13511,20.0,100.0,93.15
9962,12.0,83.33333333333334,69.08333333333333
104506,55.0,100.0,83.16363636363636
53555,14.0,100.0,59.714285714285715
24963,124.0,100.0,90.3225806451613
24965,69.0,98.55072463768117,75.02898550724638
24962,131.0,100.0,88.68702290076335
24964,56.0,94.44444444444444,69.76785714285714
42551,3.0,,
131780,1.0,,
274704,16.0,93.33333333333333,61.375
41402,5.0,100.0,90.6
9517,3.0,,
18731,125.0,100.0,92.048
21582,153.0,100.0,84.65359477124183
21855,151.0,100.0,89.36423841059603
21854,31.0,100.0,65.7741935483871
9733,15.0,73.33333333333333,52.86666666666667
113729,25.0,92.0,57.16
40912,15.0,86.66666666666667,55.333333333333336
18449,98.0,100.0,75.68367346938776
30398,14.0,84.61538461538461,46.57142857142857
58372,111.0,96.3963963963964,80.57657657657657
58360,8.0,100.0,43.125
6788,92.0,98.9010989010989,80.61538461538461
13148,23.0,100.0,81.65217391304348
8025,1.0,,
6807,68.0,98.52941176470588,68.17647058823529
110236,47.0,97.87234042553192,83.06382978723404
110391,24.0,100.0,61.125
79751,121.0,99.17355371900827,80.38842975206612
26891,27.0,100.0,84.92592592592592
8422,43.0,97.61904761904762,73.90697674418605
56201,13.0,100.0,77.92307692307692
44536,16.0,92.85714285714286,51.4375
56199,73.0,100.0,89.58904109589041
5622,22.0,95.45454545454545,64.36363636363636
44226,74.0,98.63013698630137,82.33783783783784
5447,5.0,100.0,56.0
5977,,,
8796,96.0,100.0,82.35416666666667
8461,161.0,100.0,87.64596273291926
84818,1.0,,
84682,199.0,100.0,86.65326633165829
77987,18.0,100.0,94.88888888888889
83866,60.0,96.66666666666667,71.3
25220,240.0,100.0,93.4
8803,90.0,100.0,77.72222222222223
8771,128.0,100.0,95.078125
84309,60.0,98.33333333333333,71.48333333333333
84029,151.0,100.0,97.58278145695364
84173,38.0,92.10526315789474,57.60526315789474
7670,159.0,100.0,96.89308176100629
89690,50.0,100.0,97.78
113503,17.0,100.0,79.76470588235294
121296,29.0,100.0,77.75862068965517
268702,11.0,100.0,78.18181818181819
274493,9.0,88.88888888888889,90.66666666666667
30976,15.0,100.0,80.13333333333334
83884,12.0,91.66666666666666,78.25
43581,101.0,98.01980198019803,79.52475247524752
62074,58.0,98.27586206896551,80.10344827586206
31333,171.0,100.0,88.26315789473684
108745,106.0,98.11320754716981,70.10377358490567
70761,16.0,100.0,72.375
109422,61.0,100.0,90.01639344262296
31317,113.0,100.0,90.00884955752213
9380,128.0,97.65625,72.09375
105381,11.0,90.9090909090909,50.36363636363637
106383,25.0,76.0,52.88
59955,7.0,100.0,64.0
90514,27.0,100.0,67.33333333333333
82558,16.0,100.0,76.375
89838,39.0,94.87179487179486,74.56410256410257
127896,26.0,96.15384615384616,72.5
114722,20.0,95.0,63.1
7299,16.0,93.75,54.5625
6541,89.0,100.0,87.20224719101124
127204,22.0,90.9090909090909,49.38095238095238
23586,142.0,100.0,88.04225352112677
23788,,,
86580,4.0,,
15031,24.0,100.0,89.91666666666667
25709,26.0,100.0,65.96153846153847
7818,7.0,71.42857142857143,59.0
61502,163.0,98.77300613496932,79.83435582822086
25599,133.0,100.0,92.16541353383458
88708,3.0,,
263987,28.0,100.0,80.71428571428571
272798,11.0,36.36363636363637,38.54545454545455
107409,85.0,100.0,74.47058823529412
49344,21.0,95.23809523809523,60.19047619047619
50272,77.0,98.7012987012987,84.55844155844156
86439,34.0,97.05882352941177,88.08823529411765
53333,26.0,100.0,80.76923076923077
25362,15.0,100.0,85.92857142857143
91407,5.0,60.0,32.6
91407,1.0,,
19119,1.0,,
17730,72.0,97.22222222222221,71.34722222222223
6968,115.0,100.0,97.93913043478261
18579,133.0,96.99248120300751,83.15037593984962
11182,121.0,100.0,95.80165289256199
7983,68.0,98.52941176470588,73.33823529411765
17601,54.0,96.29629629629629,76.27777777777777
15300,113.0,100.0,88.08849557522124
18356,107.0,100.0,78.11214953271028
86002,59.0,100.0,97.84745762711864
6954,165.0,100.0,95.17682926829268
74772,134.0,100.0,97.23134328358209
6934,136.0,100.0,91.15441176470588
7051,118.0,100.0,98.76271186440678
7099,106.0,100.0,97.78301886792453
7753,149.0,100.0,97.87248322147651
11181,225.0,100.0,95.71555555555555
81759,25.0,96.0,85.44
43409,15.0,100.0,85.73333333333333
81755,14.0,100.0,81.0
11174,33.0,100.0,91.96969696969697
72039,6.0,75.0,51.0
7982,190.0,100.0,90.28421052631579
57154,11.0,70.0,62.45454545454545
43407,34.0,100.0,90.20588235294117
